appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
South-West,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-West,,Theft,Payment_damages,0,0,0,1,1,0,2,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,1,1,0,3,0,0,Dismissed
South-South,South-West,Unlawful_possession,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Civil_petition,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Armed_robbery,Prison_term,0,0,0,1,1,0,3,0,0,Dismissed
North-Central,North-Central,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Others,Prison_term,2,2,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Unlawful_possession,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Civil_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,4,0,0,Dismissed
South-South,,Unlawful_possession,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-South,,Unlawful_possession,Appeal_granted,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Unlawful_possession,Appeal_granted,0,0,0,1,0,0,0,0,0,Granted
South-West,,Others,Appeal_granted,0,0,0,1,0,0,0,0,0,Granted
North-West,South-West,Civil_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Human_rights_violation,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Human_rights_violation,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-East,,Human_rights_violation,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,0,0,0,4,0,0,0,0,0,Granted
South-East,South-East,Civil_petition,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-East,,Others,Appeal_granted,0,0,0,1,0,0,0,0,0,Dismissed
North-West,,Theft,Appeal_granted,0,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Prison_term,0,0,0,0,0,0,1,5,0,Dismissed
South-West,South-West,Theft,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Theft,Appeal_granted,0,0,0,1,0,0,0,0,0,Granted
South-South,,Trespassing,Payment_damages,0,0,0,1,0,0,0,0,0,Granted
South-West,,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,0,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Unlawful_termination_appointment,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,,Civil_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Trespassing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Trespassing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-West,,Armed_robbery,Death,0,0,0,1,0,0,0,0,0,Dismissed
FCT,South-South,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Fraud_impersonation,Prison_term,0,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Theft,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
North-West,,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
FCT,,Rape_sexual_abuse,Prison_term,1,1,1,1,1,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Death,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Prison_term,0,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Theft,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Trespassing,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Appeal_granted,0,0,0,1,0,0,0,0,0,Granted
FCT,,Conspiracy,Prison_term,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
FCT,South-West,Claim_for_recovery,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Civil_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,North-East,Unlawful_termination_appointment,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,4,4,0,0,0,0,Dismissed
South-West,South-West,Others,Payment_damages,0,0,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,Prison_term,0,0,0,1,1,0,18,0,0,Dismissed
South-West,South-West,Trespassing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Law_of_tort,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Theft,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-East,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,7,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,1,0,0,Dismissed
North-Central,North-Central,Dispute,Payment_damages,0,0,0,2,2,0,1,0,3,Dismissed
FCT,,Court_order_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-South,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-West,,Trespassing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_dismissed,0,0,0,1,1,0,0,0,0,Granted
South-South,South-East,Armed_robbery,Payment_damages,0,0,0,1,1,0,3,0,0,Dismissed
South-South,South-South,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Law_of_tort,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,,Theft,Payment_damages,0,0,0,1,1,0,3,0,0,Dismissed
FCT,North-Central,Others,Appeal_dismissed,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
FCT,North-Central,Armed_robbery,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Dispute,Payment_damages,0,0,0,1,4,0,0,0,0,Dismissed
South-East,South-East,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Human_rights_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Dispute,Payment_damages,0,0,0,2,1,0,0,0,0,Dismissed
South-South,,Election_petition,Payment_damages,0,0,0,0,1,1,0,0,0,Dismissed
South-East,South-East,Theft,Prison_term,0,0,0,0,2,2,0,0,0,Granted
South-West,South-West,Dispute,Payment_damages,0,0,0,0,1,1,0,0,0,Dismissed
South-West,,Human_rights_violation,Appeal_dismissed,0,0,0,0,1,1,0,0,0,Dismissed
North-Central,,Election_petition,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Dispute,Payment_damages,0,0,0,2,2,0,0,0,0,Dismissed
South-South,,Others,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
FCT,,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Trespassing,,0,0,0,1,1,0,0,0,0,Granted
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,5,0,0,Dismissed
South-East,,Trespassing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Curroption_abuse_office,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-South,,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,South-South,Fraud_impersonation,Payment_damages,0,0,0,3,3,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Civil_petition,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Civil_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Murder_manslaughter,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Human_rights_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,,Court_order_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Libel,Appeal_granted,0,0,0,1,1,0,2,0,0,Granted
South-West,South-West,Libel,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
North-West,South-West,Dispute,,1,0,0,2,2,0,1,0,0,Dismissed
South-West,South-West,Civil_petition,,1,1,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,1,0,6,0,0,0,0,0,Dismissed
South-South,South-South,Others,,1,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Others,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,1,1,0,2,2,0,0,0,0,Granted
South-West,South-West,Others,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Civil_petition,,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
FCT,North-Central,Armed_robbery,,1,1,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,1,1,0,0,0,1,Dismissed
South-West,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Human_rights_violation,,2,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,0,1,5,1,0,Dismissed
South-South,South-South,Others,,1,1,0,0,0,0,0,0,0,Dismissed
South-South,,Civil_petition,,0,0,0,1,0,1,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,,1,0,0,0,0,0,0,0,0,Granted
South-West,,Others,,2,0,0,1,1,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Unlawful_termination_appointment,,1,0,0,1,0,0,0,0,0,Granted
North-Central,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-West,,Civil_petition,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Law_of_tort,,1,0,0,2,0,0,2,0,0,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,1,0,0,1,1,0,0,0,0,Granted
North-West,,Armed_robbery,Death,4,0,0,0,0,0,4,0,5,Dismissed
North-Central,,Civil_petition,,0,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,North-Central,Others,,0,0,0,0,0,0,0,0,0,Dismissed
FCT,,Others,,0,0,0,0,0,0,0,0,0,Granted
FCT,,Murder_manslaughter,Death,0,0,0,1,0,0,0,2,0,Granted
FCT,,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
FCT,,Law_of_tort,,2,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Others,,0,0,0,5,0,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Claim_for_recovery,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Claim_for_recovery,Prison_term,1,0,0,1,0,1,5,0,0,Dismissed
South-West,,Dispute,Payment_damages,1,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Theft,,0,0,0,0,1,0,0,0,0,Dismissed
South-West,South-West,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-South,Dispute,Payment_damages,1,1,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Fraud_impersonation,Payment_damages,1,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,2,2,0,0,5,0,Dismissed
South-West,South-West,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,0,0,0,2,2,0,0,2,0,Dismissed
South-West,,Murder_manslaughter,,0,0,0,4,0,0,1,1,0,Dismissed
South-West,South-West,Trespassing,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Prison_term,0,0,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,3,3,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Armed_robbery,Death,0,0,0,1,1,0,3,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,2,2,0,0,0,0,Dismissed
South-West,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
